,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
395,Andrew Nicholson,PF,27,WAS,28,0,8.3,1.1,2.8,0.39,0.1,0.6,0.188,1.0,2.2,0.443,0.409,0.3,0.3,0.583,0.4,0.8,1.2,0.3,0.4,0.2,0.4,1.3,2.5
396,Andrew Nicholson,PF,27,BRK,10,0,11.1,1.3,3.4,0.382,0.2,1.1,0.182,1.1,2.3,0.478,0.412,0.2,0.2,1.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,3.0
397,Joakim Noah,C,31,NYK,46,46,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,0.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0
398,Nerlens Noel,C,22,TOT,51,19,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,1.5,0.694,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7
399,Nerlens Noel,C,22,PHI,29,7,19.4,3.7,6.0,0.611,0.0,0.0,0.0,3.7,6.0,0.615,0.611,1.5,1.5,0.683,1.6,3.4,5.0,1.0,1.5,0.9,1.0,2.4,8.9
400,Nerlens Noel,C,22,DAL,22,12,22.0,3.5,6.1,0.575,0.0,0.0,0.0,3.5,6.1,0.575,0.575,1.5,1.5,0.708,2.1,4.7,6.8,0.9,1.0,1.1,1.0,2.5,8.5
401,Lucas Nogueira,C,24,TOR,57,6,19.1,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.694,0.67,0.8,0.8,0.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4
402,Steve Novak,PF,33,MIL,8,0,2.8,0.3,0.9,0.286,0.1,0.8,0.167,0.1,0.1,1.0,0.357,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.6
403,Dirk Nowitzki,PF,38,DAL,54,54,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4.0,8.7,0.463,0.495,1.8,1.8,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2
404,Jusuf Nurkic,C,22,TOT,65,48,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,1.8,0.571,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2
405,Jusuf Nurkic,C,22,DEN,45,29,17.9,3.4,6.6,0.507,0.0,0.0,0.0,3.4,6.6,0.507,0.507,1.2,1.2,0.496,2.0,3.8,5.8,1.3,0.6,0.8,1.8,2.0,8.0
406,Jusuf Nurkic,C,22,POR,20,19,29.2,6.0,11.8,0.508,0.0,0.1,0.0,6.0,11.8,0.511,0.508,3.2,3.2,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2
407,David Nwaba,SG,24,LAL,20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,1.3,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6.0
408,Johnny O'Bryant,PF,23,TOT,11,0,7.3,1.4,2.7,0.5,0.3,0.5,0.5,1.1,2.2,0.5,0.55,0.5,0.5,0.833,0.8,0.9,1.7,0.5,0.0,0.1,0.5,0.9,3.5
409,Johnny O'Bryant,PF,23,DEN,7,0,6.6,1.0,2.1,0.467,0.3,0.4,0.667,0.7,1.7,0.417,0.533,0.6,0.6,1.0,0.7,0.9,1.6,0.3,0.0,0.1,0.4,0.6,2.9
410,Johnny O'Bryant,PF,23,CHO,4,0,8.5,2.0,3.8,0.533,0.3,0.8,0.333,1.8,3.0,0.583,0.567,0.3,0.3,0.5,1.0,1.0,2.0,1.0,0.0,0.0,0.8,1.5,4.5
411,Kyle O'Quinn,C,26,NYK,79,8,15.6,2.7,5.2,0.521,0.0,0.2,0.118,2.7,5.0,0.538,0.523,0.8,0.8,0.771,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3
412,Daniel Ochefu,C,23,WAS,19,0,3.9,0.6,1.4,0.444,0.0,0.0,0.0,0.6,1.4,0.444,0.444,0.0,0.0,0.0,0.3,0.9,1.2,0.2,0.1,0.0,0.2,0.9,1.3
413,Jahlil Okafor,C,21,PHI,50,33,22.7,4.8,9.4,0.514,0.0,0.0,0.0,4.8,9.4,0.514,0.514,2.1,2.1,0.671,1.6,3.2,4.8,1.2,0.4,1.0,1.8,2.4,11.8
414,Victor Oladipo,SG,24,OKC,67,67,33.2,6.1,13.9,0.442,1.9,5.3,0.361,4.3,8.7,0.491,0.51,1.7,1.7,0.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9
415,Kelly Olynyk,C,25,BOS,75,6,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.2,0.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0
416,Arinze Onuaku,C,29,ORL,8,0,3.5,0.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.1,0.3,0.4,0.5
417,Chinanu Onuaku,C,20,HOU,5,1,10.4,1.0,1.4,0.714,0.0,0.0,0.0,1.0,1.4,0.714,0.714,0.8,0.8,1.0,0.4,1.6,2.0,0.6,0.6,0.2,0.8,1.2,2.8
418,Kelly Oubre,SF,21,WAS,79,5,20.3,2.4,5.6,0.421,0.7,2.4,0.287,1.7,3.2,0.52,0.482,0.9,0.9,0.758,0.8,2.5,3.3,0.6,0.7,0.2,0.6,2.5,6.3
419,Zaza Pachulia,C,32,GSW,70,70,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.538,0.534,1.4,1.4,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1
420,Georgios Papagiannis,C,19,SAC,22,0,16.1,2.5,4.6,0.549,0.0,0.1,0.0,2.5,4.5,0.56,0.549,0.5,0.5,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6
421,Jabari Parker,PF,21,MIL,51,50,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,3.2,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1
422,Tony Parker,PG,34,SAS,63,63,25.2,4.2,9.0,0.466,0.4,1.1,0.333,3.8,7.9,0.484,0.486,1.3,1.3,0.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1
423,Chandler Parsons,SF,28,MEM,34,34,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1.0,1.0,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2
424,Lamar Patterson,SG,25,ATL,5,0,8.0,0.6,3.0,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.4,0.667,0.2,1.2,1.4,1.2,0.2,0.0,0.8,1.2,1.8
425,Patrick Patterson,PF,27,TOR,65,8,24.6,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2.0,0.458,0.523,0.7,0.7,0.717,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8
426,Chris Paul,PG,31,LAC,61,61,31.5,6.1,12.9,0.476,2.0,5.0,0.411,4.1,7.9,0.518,0.555,3.8,3.8,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1
427,Adreian Payne,PF,25,MIN,18,0,7.5,1.3,3.0,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,0.8,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5
428,Cameron Payne,PG,22,TOT,31,0,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.346,0.402,0.2,0.2,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2
429,Cameron Payne,PG,22,OKC,20,0,16.0,2.2,6.5,0.331,0.8,2.6,0.308,1.4,3.9,0.346,0.392,0.2,0.2,1.0,0.1,1.5,1.6,2.0,0.5,0.2,0.8,1.9,5.3
430,Cameron Payne,PG,22,CHI,11,0,12.9,1.9,5.7,0.333,1.0,3.1,0.324,0.9,2.6,0.345,0.421,0.1,0.1,0.25,0.1,1.5,1.5,1.4,0.4,0.0,1.2,1.3,4.9
431,Elfrid Payton,PG,22,ORL,82,58,29.4,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,1.8,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8
432,Gary Payton,PG,24,MIL,6,0,16.5,1.3,3.7,0.364,0.2,1.5,0.111,1.2,2.2,0.538,0.386,0.5,0.5,0.6,0.0,2.0,2.0,2.2,0.5,0.7,1.7,1.5,3.3
433,Paul Pierce,SF,39,LAC,25,7,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.4,0.769,0.0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2
434,Marshall Plumlee,C,24,NYK,21,1,8.1,0.8,1.4,0.533,0.0,0.0,0.0,0.8,1.4,0.533,0.533,0.4,0.4,0.421,1.1,1.3,2.4,0.5,0.2,0.2,0.6,1.1,1.9
435,Mason Plumlee,C,26,TOT,81,64,26.5,4.1,7.7,0.536,0.0,0.1,0.0,4.1,7.6,0.541,0.536,2.1,2.1,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4
436,Mason Plumlee,C,26,POR,54,54,28.1,4.4,8.2,0.532,0.0,0.1,0.0,4.4,8.1,0.538,0.532,2.4,2.4,0.567,2.2,5.8,8.0,4.0,0.9,1.2,1.6,2.8,11.1
437,Mason Plumlee,C,26,DEN,27,10,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,1.7,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1
438,Miles Plumlee,C,28,TOT,45,12,10.8,1.0,2.0,0.478,0.0,0.0,0.0,1.0,2.0,0.478,0.478,0.6,0.6,0.641,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5
439,Miles Plumlee,C,28,MIL,32,12,9.7,0.9,2.1,0.441,0.0,0.0,0.0,0.9,2.1,0.441,0.441,0.7,0.7,0.629,0.7,0.9,1.7,0.6,0.3,0.3,0.7,1.5,2.6
440,Miles Plumlee,C,28,CHO,13,0,13.4,1.1,1.8,0.583,0.0,0.0,0.0,1.1,1.8,0.583,0.583,0.2,0.2,0.75,1.2,2.1,3.2,0.2,0.5,0.3,0.6,1.9,2.4
441,Jakob Poeltl,C,21,TOR,54,4,11.6,1.2,2.1,0.583,0.0,0.0,0.0,1.2,2.1,0.583,0.583,0.6,0.6,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1
442,Otto Porter,SF,23,WAS,80,80,32.6,5.2,10.0,0.516,1.9,4.3,0.434,3.3,5.8,0.576,0.608,1.2,1.2,0.832,1.5,5.0,6.4,1.5,1.5,0.5,0.6,2.4,13.4
443,Bobby Portis,PF,21,CHI,64,13,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.6,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8
444,Kristaps Porzingis,PF,21,NYK,66,65,32.8,6.7,14.9,0.45,1.7,4.8,0.357,5.0,10.2,0.493,0.507,3.0,3.0,0.786,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1
445,Dwight Powell,C,25,DAL,77,3,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.571,0.542,1.4,1.4,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7
446,Norman Powell,SG,23,TOR,76,18,18.0,3.0,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,1.7,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4
447,Alex Poythress,PF,23,PHI,6,1,26.2,4.2,9.0,0.463,1.0,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.3,0.8,1.8,3.0,4.8,0.8,0.5,0.3,0.5,2.3,10.7
448,Ronnie Price,PG,33,PHO,14,0,9.6,0.3,1.7,0.167,0.2,1.2,0.176,0.1,0.5,0.143,0.229,0.2,0.2,0.75,0.2,0.6,0.8,1.3,0.8,0.1,0.2,1.0,1.0
449,Tim Quarterman,SG,22,POR,16,0,5.0,0.8,1.8,0.448,0.3,0.8,0.385,0.5,1.0,0.5,0.534,0.0,0.0,0.0,0.3,0.6,0.9,0.7,0.1,0.2,0.7,0.4,1.9
450,Chasson Randle,PG,23,TOT,26,0,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2.0,0.471,0.49,1.6,1.6,0.953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3
451,Chasson Randle,PG,23,PHI,8,0,9.3,1.5,3.3,0.462,0.8,1.9,0.4,0.8,1.4,0.545,0.577,1.5,1.5,1.0,0.0,0.6,0.6,0.8,0.4,0.1,0.4,1.4,5.3
452,Chasson Randle,PG,23,NYK,18,0,12.5,1.6,4.0,0.389,0.6,1.8,0.313,1.0,2.2,0.45,0.458,1.6,1.6,0.935,0.3,1.2,1.5,1.6,0.3,0.1,0.9,1.6,5.3
453,Julius Randle,PF,22,LAL,74,73,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,2.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2
454,Zach Randolph,PF,35,MEM,73,5,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,1.9,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1
455,J.J. Redick,SG,32,LAC,78,78,28.2,5.1,11.4,0.445,2.6,6.0,0.429,2.5,5.4,0.462,0.558,2.3,2.3,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15.0
456,Willie Reed,C,26,MIA,71,5,14.5,2.3,4.0,0.568,0.0,0.1,0.25,2.3,4.0,0.573,0.57,0.7,0.7,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3
457,Josh Richardson,SG,23,MIA,53,34,30.5,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.1,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2
458,Malachi Richardson,SG,21,SAC,22,0,9.0,1.3,3.1,0.412,0.4,1.3,0.286,0.9,1.8,0.5,0.471,0.7,0.7,0.789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6
459,Austin Rivers,SG,24,LAC,74,29,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,1.8,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0
460,Andre Roberson,SF,25,OKC,79,79,30.1,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,0.6,0.423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6
461,Brian Roberts,PG,31,CHO,41,2,10.1,1.1,3.0,0.377,0.4,1.1,0.386,0.7,1.9,0.372,0.447,0.8,0.8,0.846,0.1,0.8,1.0,1.3,0.2,0.0,0.6,0.4,3.5
462,Glenn Robinson,SF,23,IND,69,27,20.7,2.3,4.9,0.467,0.7,1.8,0.392,1.6,3.1,0.512,0.54,0.8,0.8,0.711,0.8,2.7,3.6,0.7,0.6,0.3,0.5,0.9,6.1
463,Thomas Robinson,PF,25,LAL,48,1,11.7,2.2,4.1,0.536,0.0,0.0,0.0,2.2,4.1,0.538,0.536,0.6,0.6,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,5.0
464,Sergio Rodriguez,PG,30,PHI,68,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.3,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8
465,Rajon Rondo,PG,30,CHI,69,42,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.4,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8
466,Derrick Rose,PG,28,NYK,64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7.0,14.3,0.487,0.477,3.5,3.5,0.874,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0
467,Terrence Ross,SF,25,TOT,78,24,25.1,4.2,9.6,0.437,1.8,5.0,0.363,2.4,4.6,0.518,0.532,0.8,0.8,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11.0
468,Terrence Ross,SF,25,TOR,54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.8,0.82,0.3,2.3,2.6,0.8,1.0,0.4,0.6,1.5,10.4
469,Terrence Ross,SF,25,ORL,24,24,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1.0,1.0,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5
470,Terry Rozier,PG,22,BOS,74,0,17.1,2.0,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.7,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5
471,Ricky Rubio,PG,26,MIN,75,75,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.443,0.448,3.4,3.4,0.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1
472,Damjan Rudez,SF,30,ORL,45,0,7.0,0.7,2.0,0.352,0.4,1.4,0.313,0.2,0.5,0.458,0.466,0.0,0.0,0.0,0.1,0.4,0.6,0.4,0.3,0.0,0.2,0.7,1.8
473,Brandon Rush,SG,31,MIN,47,33,21.9,1.5,4.0,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.3,0.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2
474,D'Angelo Russell,PG,20,LAL,63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,2.3,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6
475,Domantas Sabonis,PF,20,OKC,81,66,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.5,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
476,Larry Sanders,C,28,CLE,5,0,2.6,0.2,0.8,0.25,0.0,0.0,0.0,0.2,0.8,0.25,0.25,0.4,0.4,1.0,0.6,0.2,0.8,0.0,0.2,0.2,0.4,1.0,0.8
477,Dario Saric,PF,22,PHI,81,36,26.3,4.7,11.4,0.411,1.3,4.2,0.311,3.4,7.2,0.469,0.468,2.1,2.1,0.782,1.4,5.0,6.3,2.2,0.7,0.4,2.3,2.0,12.8
478,Tomas Satoransky,SG,25,WAS,57,3,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.4,0.697,0.4,1.0,1.5,1.6,0.5,0.1,0.7,1.1,2.7
479,Dennis Schroder,PG,23,ATL,79,78,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,2.8,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9
480,Luis Scola,PF,36,BRK,36,1,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,0.7,0.676,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1
481,Mike Scott,PF,28,ATL,18,0,10.8,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5
482,Thabo Sefolosha,SF,32,ATL,62,42,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,0.9,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2
483,Wayne Selden,SG,22,TOT,14,5,16.9,1.8,4.1,0.431,0.5,2.0,0.25,1.3,2.1,0.6,0.491,1.0,1.0,0.636,0.1,1.1,1.1,0.9,0.4,0.1,0.9,1.3,5.1
484,Wayne Selden,SG,22,NOP,3,3,15.7,1.7,2.7,0.625,1.3,2.3,0.571,0.3,0.3,1.0,0.875,0.7,0.7,0.5,0.0,1.7,1.7,0.3,0.7,0.0,1.0,2.0,5.3
485,Wayne Selden,SG,22,MEM,11,2,17.2,1.8,4.5,0.4,0.3,1.9,0.143,1.5,2.6,0.586,0.43,1.1,1.1,0.667,0.1,0.9,1.0,1.1,0.4,0.1,0.8,1.1,5.0
486,Kevin Seraphin,PF,27,IND,49,3,11.4,2.2,4.0,0.551,0.0,0.0,0.0,2.2,4.0,0.556,0.551,0.3,0.3,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7
487,Ramon Sessions,PG,30,CHO,50,1,16.2,2.0,5.3,0.38,0.4,1.2,0.339,1.6,4.0,0.393,0.42,1.8,1.8,0.771,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2
488,Iman Shumpert,SG,26,CLE,76,31,25.5,2.6,6.4,0.411,1.2,3.4,0.36,1.4,3.0,0.469,0.507,0.9,0.9,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5
489,Pascal Siakam,PF,22,TOR,55,38,15.6,1.9,3.7,0.502,0.0,0.1,0.143,1.9,3.6,0.515,0.505,0.4,0.4,0.688,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2.0,4.2
490,Jonathon Simmons,SG,27,SAS,78,8,17.8,2.3,5.4,0.42,0.4,1.3,0.294,1.9,4.1,0.461,0.456,1.3,1.3,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1.0,1.9,6.2
491,Kyle Singler,SF,28,OKC,32,2,12.0,1.1,2.6,0.41,0.2,1.2,0.189,0.8,1.4,0.587,0.452,0.4,0.4,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8
492,Marcus Smart,SG,22,BOS,79,24,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,2.6,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6
493,Ish Smith,PG,28,DET,81,32,24.1,4.1,9.2,0.439,0.3,1.3,0.267,3.7,8.0,0.467,0.458,0.9,0.9,0.706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4
